Date,Romont-fourniture,Villaz-conso,Villaz-fourniture,Chatonnaye-conso,Chatonnaye-fourniture,Torny-conso,Torny-fourniture,Montagny-conso,Montagny-fourniture,Trey,Corserey,Chavannes
31-Dec-22,37.2,17002.6,15246.8,5017.4,6688.1,7490.6,12328.4,110.9,109,2981.6,1729.1,77.4
31-Jan-23,25.3,18441.5,15181.1,5083.4,8439,8049.6,12619,105.1,108.1,2905.8,1717.3,69.4
28-Feb-23,39.9,15519.5,13789.3,4671.8,7044.5,7408.2,12411.4,1502.8,62.4,2630.5,1536.8,77.9
31-Mar-23,72.5,19011.1,16012.9,5327.9,8083.2,8103.4,13089.7,140.8,374.1,2980.5,1825.4,243.3
30-Apr-23,22.9,17775.8,14949.1,4841,7350.2,7971.5,13203.5,132.4,162.3,3181.4,1720.3,65.6
31-May-23,853.5,17801.8,15061.3,5332.8,7271.6,8734.4,13605.1,106,992.9,3708.7,2022.9,77.8
30-Jun-23,4704.4,19369.6,13350.1,6436.6,6894.5,11060.3,14118.4,31.2,4637.5,4345.3,2356.8,105.1
31-Jul-23,125.2,18321.4,14943.2,6067.2,6584.4,8189.8,13456,57.8,3643,3845.9,1913.4,356.3
31-Aug-23,3272.5,18406.7,14670.9,6182.3,6258.4,9039.8,12910.4,92.7,3241.8,3649.2,2029.1,954.2
30-Sep-23,4325.7,16227.5,14693.9,5667,5936.8,8914.6,12082.5,178.3,98.5,3115.3,2207.8,826.9
31-Oct-23,2876.1,15428.7,14779.5,5546.1,5938.3,7813.9,11860.2,121.1,70.1,3222,2036.5,1355.9
30-Nov-23,249.8,15325,14738.3,5292.8,5937.6,7366.6,12138.4,143.7,100.4,3120,1729.6,186.8
